,E0010,E0011,E0012,E0013,E0014,E0015,E0016,E0017,E0018,E0019,E0020,E0021,E0022,E0023,E0024,E0025,E0026,E0027,E0028,E0029,E0030,E0031,E0032,E0033,E0034,E0035,E0036,E0037,E0038,E0039,E0040,E0041,E0042,E0043,E0044,E0045,E0046,E0047,E0048,E0049,E0050,E0051,E0052,E0053,E0054,E0055,E0056,E0057,E0058,E0059,E0060,E0061,E0062,E0063,E0064,E0065,E0066,E0067,E0068,E0069,E0070,E0071,E0072,E0073,E0074,E0075,E0076,E0077,E0078,E0079,E0080,E0081,E0082,E0083,E0084,E0085,E0086,E0087,E0088,E0089,E0090,E0091,E0092,E0093,E0094,E0095,E0096,E0097,E0098,E0099,E0100,E0101,E0102,E0103,E0104,E0105,E0106,E0107,E0108,E0109
01-Jan,9554.63025,9553.619834,9639.187809,9628.19152,9581.119983,9607.197065,9573.70292,9560.240082,9628.595305,9567.041651,9584.382937,9674.414339,9606.680155,9611.669992,9639.116847,9586.646198,9593.920554,9554.477655,9559.372134,9629.835535,9620.690322,9617.526272,9587.13495,9578.306343,9584.507012,9547.950596,9600.346695,9548.691375,9612.502603,9552.543698,9645.163766,9601.146354,9561.001063,9614.281599,9604.770799,9589.928621,9626.158829,9631.649083,9558.01136,9566.880238,9552.815919,9618.334564,9740.094394,9636.553699,9594.20833,9741.977218,9651.821326,9577.571679,9570.964009,9564.917232,9609.665856,9559.342246,9565.123006,9629.656288,9601.538403,9598.904032,9575.808805,9640.902244,9554.375294,9594.36645,9615.02199,9626.5261,9601.014221,9559.26491,9590.254461,9643.736867,9596.664865,9597.790803,9592.982417,9600.56733,9622.617562,9623.150485,9626.556641,9595.530642,9572.700648,9583.15806,9616.491076,9573.313243,9629.024196,9646.256674,9550.358782,9599.483608,9549.957104,9633.693958,9626.562041,9577.18205,9586.470086,9554.964179,9631.268464,9584.536632,9549.409418,9634.351705,9614.936994,9608.221601,9646.164259,9621.968925,9580.064657,9618.749483,9916.878871,9633.267784
02-Jan,4644.975758,4641.069742,4685.415567,4688.482136,4712.470185,4722.168565,4655.965131,4653.815074,4668.115341,4693.320579,4654.0406,4666.491414,4643.616986,4731.624544,4652.211656,4706.834585,4665.803141,4669.160071,4679.617909,4677.345044,4640.025939,4707.813816,4672.4225,4647.217437,4668.659014,4729.465459,4665.159325,4682.502884,4698.493156,4709.518631,4698.064648,4644.837011,4657.408218,4699.756041,4714.927639,4700.084717,4697.483595,4710.154493,4728.730968,4734.356335,4783.696724,4734.940183,4646.957562,4670.486663,4670.199209,4678.316427,4666.321967,4801.940708,4657.479055,4734.464109,4664.70838,4662.279926,4642.084584,4654.234268,4718.845189,4638.453218,4698.533481,4660.025404,4646.597357,4695.729938,4678.90816,4693.992094,4703.296917,4712.611587,4679.202851,4722.656687,4700.481521,4675.595291,4695.023987,4999.789186,4681.274144,4665.005854,4703.559143,4643.495971,4661.818559,4663.031373,4692.904852,4638.507743,4720.711199,4716.773821,4673.633843,4660.966007,4651.863812,4723.173932,4672.480076,4665.007392,4729.123006,4720.631812,4714.545454,4720.713074,4784.253007,4722.270728,4719.803584,4707.311517,4734.840368,4785.030445,4736.001562,4713.165017,4707.603344,4671.600701
03-Jan,3340.811377,3332.117829,3348.463133,3260.999029,3321.792939,3349.382217,3348.628583,3274.327339,3287.093297,3342.602744,3338.49869,3294.397128,3295.70838,3318.480562,3269.209555,3256.88325,3310.195978,3290.230701,3297.465745,3325.879683,3342.703233,3295.471777,3321.840658,3332.028578,3336.48268,3348.106966,3280.398425,3268.527519,3254.368141,3317.97132,3275.815726,3280.747157,3415.848739,3263.084779,3259.173162,3334.940681,3290.866062,3268.576355,3314.955119,3282.787015,3322.673655,3258.329565,3259.520148,3281.182536,3338.227049,3299.194782,3292.55042,3286.630722,3338.853944,3254.659425,3336.647895,3302.742835,3347.640442,3319.998136,3313.685838,3314.399059,3337.690361,3328.127768,3260.210565,3319.63804,3336.30248,3328.368647,3338.583424,3311.285511,3270.29355,3311.574778,3340.263357,3283.957317,3324.384693,3298.497605,3260.625099,3341.360898,3344.087021,3346.808999,3312.956235,3275.614074,3328.703608,3312.662085,3268.261805,3269.691208,3279.837048,3326.938919,3337.828838,3261.995162,3305.678631,3301.883728,3322.425823,3254.445633,3308.600318,3265.297175,3290.645409,3272.098468,3260.887729,3337.025318,3262.356658,3329.806977,3258.247125,3287.613339,3310.221416,3346.799398
04-Jan,2106.65244,2085.804707,2092.233332,2148.592632,2108.504065,2133.572638,2117.180499,2131.261582,2167.361063,2108.124086,2219.564927,2156.786734,2074.31188,2159.014611,2242.411265,2083.204533,2160.555838,2074.319067,2164.604264,2138.120278,2105.11802,2106.518968,2072.427482,2131.878441,2149.057724,2134.490698,2112.917559,2109.314447,2116.699823,2080.761302,2145.389525,2153.652788,2161.930607,2118.895592,2101.055327,2139.806453,2169.326399,2089.500185,2170.038546,2080.237924,2088.520038,2143.741084,2144.537585,2079.225327,2112.98032,2140.967249,2165.824644,2115.182786,2142.372812,2130.258756,2073.944885,2114.250223,2123.310989,2141.727445,2077.031119,2085.843905,2134.775366,2146.094802,2114.329232,2155.539307,2086.391933,2082.79945,2117.322108,2089.014724,2152.411548,2156.497179,2104.70493,2087.588574,2113.2603,2150.834816,2139.720962,2128.190286,2097.193025,2091.358944,2169.94955,2169.66883,2135.814099,2079.20359,2110.925857,2124.028962,2114.661506,2129.456577,2270.395303,2228.86686,2117.852325,2108.750194,2162.245553,2169.971078,2074.000164,2126.207166,2121.769118,2153.383348,2112.256654,2099.87894,2092.910383,2113.068034,2081.838121,2134.766275,2089.105864,2127.320656
05-Jan,1021.397697,1038.017781,1101.386741,1063.501589,1037.059958,1062.788389,1062.323854,1088.577805,1098.305153,1095.117091,1064.080487,1122.435196,1015.781572,1092.297204,1053.484433,1047.660066,1098.940634,1044.898935,1074.437841,1006.574826,1069.521842,1036.94358,1031.30779,1098.183473,1040.607666,1010.586376,1055.552588,1056.337982,1035.264722,1025.754898,1039.605737,1048.387726,1051.261445,1009.450041,1101.075665,1076.647263,1022.049248,1010.69531,1020.977486,1069.651392,1082.827855,1027.861975,1191.280411,1060.452168,1007.547354,1097.384998,1097.995754,1008.037948,1043.785457,1017.082843,1043.341645,1044.189671,1088.00858,1031.600446,1018.612396,1026.472145,1073.394564,1073.084435,1073.187578,1009.239322,1005.693775,1028.426194,1042.348188,1067.907857,1089.926418,1089.612913,1039.805357,1089.921527,1068.406126,1005.516985,1068.428658,1075.163807,1095.559376,1052.248792,1046.033596,1084.858354,1104.717533,1104.790774,1070.786216,1019.808836,1099.732801,1050.630134,1089.116195,1089.9022,1027.405106,1104.093974,1029.756866,1093.364901,1090.789282,1122.658054,1100.346818,1062.459195,1103.480842,1049.41304,1104.066427,1029.331206,1021.147969,1065.699376,1102.181122,1065.352351
06-Jan,3124.409479,3120.70571,3138.161175,3123.932519,3139.016781,3156.587413,3159.862138,3121.55255,3140.561289,3181.984891,3120.537691,3173.143915,3192.201958,3119.829412,3198.203935,3211.441191,3197.569664,3217.814218,3136.374936,3184.881262,3224.336111,3155.364581,3174.385492,3151.299608,3188.347817,3181.366024,3146.673447,3208.26737,3174.45937,3200.643568,3118.107389,3201.651863,3135.809947,3138.120599,3194.105045,3145.028553,3213.87485,3184.811892,3197.735924,3196.50359,3130.854314,3134.645681,3176.509845,3190.919466,3153.799145,3178.931391,3190.068414,3165.175086,3200.829602,3184.595335,3194.660074,3132.847076,3199.533121,3127.324472,3132.347028,3170.567437,3187.629858,3136.972304,3155.77981,3156.177188,3210.785736,3209.667431,3196.395365,3175.32647,3132.194828,3151.266961,3127.023872,3217.597717,3199.850949,3131.922328,3177.070797,3148.669401,3205.852264,3179.617094,3150.584168,3171.553189,3283.587626,3199.694362,3158.968763,3190.495714,3193.835338,3158.326512,3171.759555,3170.640351,3174.358301,3164.046493,3148.972512,3154.993611,3119.330668,3316.01644,3172.098604,3206.708639,3214.384998,3199.161444,3204.996564,3168.981573,3215.158495,3153.341225,3162.90041,3215.65379
07-Jan,4901.513755,4918.342818,4943.813179,4929.915687,4900.84693,4952.838946,4884.075533,4869.526939,4914.816852,4919.930827,4884.589309,4934.007095,4880.358962,4915.096824,4869.768352,4871.776169,4891.011805,4907.385909,4886.828455,4904.55848,4882.985807,4950.024602,4882.061266,4946.241132,4892.411143,4950.901682,4919.830044,4872.275292,4878.957902,4893.521337,4884.951751,4865.766802,4957.814802,4884.223787,4917.419286,4935.430372,4880.872365,4893.903407,4915.5024,4948.918761,4956.792575,4883.718536,4956.722182,4887.376236,4885.91773,4914.894025,4871.833385,4932.071468,4954.956711,4865.478635,4943.844391,4917.844682,4885.109945,4945.942807,4952.796241,4898.674909,4953.11459,4921.647182,4964.412427,4878.862566,4869.306458,4866.099941,4879.698021,4930.258951,4925.975096,4875.814687,4964.745653,4896.566839,4950.396837,4955.090384,4925.785881,4926.084189,4908.660905,4926.567635,4935.404065,4871.065909,4902.95059,4943.639797,4963.348983,5221.078391,4919.495171,4883.445448,4929.745575,4959.0507,4933.206906,4893.144493,4962.054553,4905.25557,4886.736394,4907.291676,4937.186423,4912.335617,4959.768983,4869.567846,4875.914199,4882.619815,4889.619979,5018.085379,4943.313024,4893.535965
08-Jan,10047.67445,10176.18496,10085.72296,10055.12105,10051.11083,10017.79477,10050.42171,10092.14656,10070.22735,10099.12124,10059.9578,10075.83696,10104.35426,10079.63635,10190.20141,10039.05048,10105.00553,10140.2376,10016.29053,10023.47859,10087.38217,10050.05972,10100.05919,10075.99068,10089.5936,10067.61423,10050.44088,10087.08037,10023.17535,10010.03609,10076.58996,10089.3426,10078.14132,10049.54997,10046.32186,10057.16456,10023.2604,10039.1197,10031.22153,10072.37933,10108.61757,10029.33112,10027.16727,10061.10105,10023.23665,10069.51633,10076.91325,10038.56866,10022.97327,10014.62289,10034.40101,10054.41823,10078.38235,10076.76326,10181.3377,10032.01458,10017.08588,10051.714,10046.0675,10036.09301,10198.0599,10059.8392,10106.64107,10009.50622,10035.61473,10078.14549,10104.16293,10063.22406,10048.42904,10014.77672,10104.13433,10102.15812,10171.23771,10040.49871,10030.33876,10021.35822,10070.58517,10027.15501,10095.75194,10119.01003,10086.80485,10055.78073,10054.12886,10076.1649,10009.5708,10074.84033,10031.7786,10015.38768,10013.95814,10085.46184,10064.09404,10070.38518,10028.06262,10068.6802,10035.60737,10082.50406,10048.06292,10061.18848,10144.27738,10032.75529
09-Jan,5500.832381,5515.071426,5439.91277,5451.452285,5574.174705,5439.878563,5489.756124,5435.568149,5431.921795,5480.976443,5427.264954,5570.581421,5453.851579,5533.265527,5510.796307,5484.435168,5511.621587,5451.514392,5495.335344,5508.492986,5477.498847,5468.181626,5598.732745,5516.341973,5459.853702,5462.527554,5458.234672,5457.510175,5493.369256,5484.944872,5458.358316,5497.502264,5430.776625,5460.055205,5480.473589,5451.382542,5493.383435,5587.848495,5438.581288,5500.146485,5498.259546,5534.468312,5512.854443,5526.301495,5550.566817,5521.664784,5490.791341,5511.823131,5510.965118,5449.443721,5485.760105,5433.769401,5463.849673,5516.025061,5513.821837,5467.892849,5476.480379,5454.214822,5517.524645,5491.805208,5523.545035,5473.238978,5537.133757,5494.06978,5471.633147,5497.669949,5486.662527,5454.350853,5534.650792,5467.483026,5504.364922,5433.994822,5491.073473,5520.055133,5437.230916,5484.674673,5495.332579,5515.717062,5430.246673,5481.516594,5522.046012,5470.929071,5494.251394,5494.552153,5446.858011,5495.47479,5516.171579,5486.797536,5495.962325,5493.617335,5491.456378,5439.354803,5429.855637,5441.307945,5479.86542,5467.326041,5458.891772,5437.722802,5452.091532,5503.892262
10-Jan,1518.475215,1565.307992,1525.91508,1544.437524,1524.011124,1619.217434,1590.07779,1550.645003,1586.09995,1555.664454,1534.282565,1540.839864,1525.80984,1544.667325,1545.449302,1535.180787,1555.512591,1554.444033,1607.364187,1611.43105,1695.534147,1543.639716,1516.444275,1554.590002,1583.159628,1521.409533,1517.020776,1613.378815,1604.005885,1583.597747,1582.616765,1546.341334,1602.714236,1562.891978,1549.741464,1571.271812,1522.320422,1561.355874,1629.371979,1574.489988,1613.556493,1540.588632,1606.798893,1525.666447,1568.831864,1529.327586,1555.326611,1596.59751,1516.133814,1522.906355,1602.04251,1584.958996,1682.460493,1546.342043,1564.03125,1567.901965,1542.361285,1559.182671,1544.631509,1567.513029,1539.305409,1556.693446,1529.738305,1543.12609,1544.066102,1584.353708,1612.531165,1595.260905,1560.39521,1584.32584,1570.069426,1535.284837,1558.695035,1596.449901,1551.16014,1535.996167,1550.645081,1606.474836,1551.762716,1554.799235,1542.787978,1595.964789,1566.947489,1548.431659,1539.257163,1688.103622,1540.403013,1557.323514,1561.058822,1531.442878,1526.059589,1612.07426,1544.250047,1599.798608,1592.077099,1528.71917,1590.864242,1601.431076,1588.270411,1601.209407
